genome	s1	s2	subject1	subject2	site1	site2	pair_class	popANI	breadth	shared_strain	bray_curtis
Aerococcus_christensenii.fna	22V	36C	22	36	vagina	cervix	between_cervix_vagina	0.9943992521231833	0.6183103904179159	False	0.7245182001506417
Aerococcus_christensenii.fna	22V	36V	22	36	vagina	vagina	other	0.9946859564107966	0.4399375372530037	False	0.5336141411104878
Aerococcus_christensenii.fna	22V	39V	22	39	vagina	vagina	other	0.9950554863938044	0.4213950356792051	False	0.3706327570217234
Aerococcus_christensenii.fna	22V	3C	22	3	vagina	cervix	between_cervix_vagina	0.9937381667521864	0.5055420883309754	False	0.6238194135759529
Aerococcus_christensenii.fna	22V	3V	22	3	vagina	vagina	other	0.99356421371549	0.6139970879898247	False	0.608689801095172
Aerococcus_christensenii.fna	22V	41V	22	41	vagina	vagina	other	0.9991357118180884	0.519836942878513	True	0.4033389002320319
Aerococcus_christensenii.fna	22V	42C	22	42	vagina	cervix	between_cervix_vagina	0.9942724532759438	0.5078599814877514	False	0.8190984705805749
Aerococcus_christensenii.fna	22V	42V	22	42	vagina	vagina	other	0.994304565782108	0.6140209041649984	False	0.8228622378795598
Aerococcus_christensenii.fna	22V	4C	22	4	vagina	cervix	between_cervix_vagina	0.9937035531483666	0.4497060311567066	False	0.8306808868450212
Aerococcus_christensenii.fna	36C	36V	36	36	cervix	vagina	within_cervix_vagina	0.9999952183172875	0.6730689265856745	True	0.4787711806114968
Aerococcus_christensenii.fna	36C	39V	36	39	cervix	vagina	between_cervix_vagina	0.9987318337216202	0.632429520213496	False	0.6753500385359789
Aerococcus_christensenii.fna	36C	3C	36	3	cervix	cervix	other	0.9934500836661988	0.763188689762778	False	0.8210276437656385
Aerococcus_christensenii.fna	36C	3V	36	3	cervix	vagina	between_cervix_vagina	0.9931480481903944	0.9396935823775752	False	0.8155556498859737
Aerococcus_christensenii.fna	36C	41V	36	41	cervix	vagina	between_cervix_vagina	0.9958168823655862	0.7755338363481178	False	0.7856106416790698
Aerococcus_christensenii.fna	36C	42C	36	42	cervix	cervix	other	0.9944968566805936	0.7582902818419044	False	0.5754779861773337
Aerococcus_christensenii.fna	36C	42V	36	42	cervix	vagina	between_cervix_vagina	0.9944340924942344	0.9330398579783544	False	0.7064511961184522
Aerococcus_christensenii.fna	36C	4C	36	4	cervix	cervix	other	0.9934443571327688	0.6790628785645412	False	0.9561180122399628
Aerococcus_christensenii.fna	36V	39V	36	39	vagina	vagina	other	0.998835296757864	0.4531780432887949	False	0.5819861908759275
Aerococcus_christensenii.fna	36V	3C	36	3	vagina	cervix	between_cervix_vagina	0.9937158752641676	0.5412380291535731	False	0.8378557107637831
Aerococcus_christensenii.fna	36V	3V	36	3	vagina	vagina	other	0.9934575244851802	0.6554398075138101	False	0.8491061545385233
Aerococcus_christensenii.fna	36V	41V	36	41	vagina	vagina	other	0.9961078065043866	0.5500448645245841	False	0.6193906641869587
Aerococcus_christensenii.fna	36V	42C	36	42	vagina	cervix	between_cervix_vagina	0.9947239803640728	0.5383910306996935	False	0.7998531972620929
Aerococcus_christensenii.fna	36V	42V	36	42	vagina	vagina	other	0.994649978186394	0.6506559747059346	False	0.8768480637030708
Aerococcus_christensenii.fna	36V	4C	36	4	vagina	cervix	between_cervix_vagina	0.9936328159774864	0.4844396697662024	False	0.9212756598200365
Aerococcus_christensenii.fna	39V	3C	39	3	vagina	cervix	between_cervix_vagina	0.9940539601230006	0.5111736482389547	False	0.5343735829981805
Aerococcus_christensenii.fna	39V	3V	39	3	vagina	vagina	other	0.9937746713579196	0.6242077903352674	False	0.555314992854736
Aerococcus_christensenii.fna	39V	41V	39	41	vagina	vagina	other	0.9962767538644473	0.5196818158996785	False	0.6320045814341225
Aerococcus_christensenii.fna	39V	42C	39	42	vagina	cervix	between_cervix_vagina	0.9950294396652464	0.5150157766068516	False	0.6865865614314017
Aerococcus_christensenii.fna	39V	42V	39	42	vagina	vagina	other	0.9950024595009074	0.6228740845255367	False	0.7102343910258121
Aerococcus_christensenii.fna	39V	4C	39	4	vagina	cervix	between_cervix_vagina	0.993951237537574	0.4529031917536815	False	0.8743726854571324
Aerococcus_christensenii.fna	3C	3V	3	3	cervix	vagina	within_cervix_vagina	0.9999924972865186	0.7721371348240114	True	0.3803243545186398
Aerococcus_christensenii.fna	3C	41V	3	41	cervix	vagina	between_cervix_vagina	0.9950682034343292	0.6354844274398385	False	0.7536600200561032
Aerococcus_christensenii.fna	3C	42C	3	42	cervix	cervix	other	0.9930959014788994	0.6182189877996815	False	0.7970828335932785
Aerococcus_christensenii.fna	3C	42V	3	42	cervix	vagina	between_cervix_vagina	0.993007451956064	0.7551973974713658	False	0.87763442815041
Aerococcus_christensenii.fna	3C	4C	3	4	cervix	cervix	other	0.999986346398692	0.5657236319538403	True	0.755649156369153
Aerococcus_christensenii.fna	3V	41V	3	41	vagina	vagina	other	0.9949012268870748	0.7728548384812747	False	0.6505137605923628
Aerococcus_christensenii.fna	3V	42C	3	42	vagina	cervix	between_cervix_vagina	0.9929006911703036	0.7582568104605791	False	0.7851181952450008
Aerococcus_christensenii.fna	3V	42V	3	42	vagina	vagina	other	0.9928564025675218	0.9316050943442375	False	0.8012921809576167
Aerococcus_christensenii.fna	3V	4C	3	4	vagina	cervix	between_cervix_vagina	0.9999905943168982	0.6843526441747566	True	0.8402982438748549
Aerococcus_christensenii.fna	41V	42C	41	42	vagina	cervix	between_cervix_vagina	0.9959854499164352	0.6350943571113168	False	0.9191381560665669
Aerococcus_christensenii.fna	41V	42V	41	42	vagina	vagina	other	0.9959549323526096	0.7709714296013173	False	0.9066612459101339
Aerococcus_christensenii.fna	41V	4C	41	4	vagina	cervix	between_cervix_vagina	0.9950512552622336	0.5661922312923944	False	0.8539467283366369
Aerococcus_christensenii.fna	42C	42V	42	42	cervix	vagina	within_cervix_vagina	0.999983235329866	0.7679010740451323	True	0.2875804750689081
Aerococcus_christensenii.fna	42C	4C	42	4	cervix	cervix	other	0.9930786869841448	0.5507445451303646	False	0.9551326225955606
Aerococcus_christensenii.fna	42V	4C	42	4	vagina	cervix	between_cervix_vagina	0.9930508729810844	0.6710863909225614	False	0.9746284355889239
Fannyhessea_vaginae.fna	21C	21V	21	21	cervix	vagina	within_cervix_vagina	0.999996116206217	0.8819355435367136	True	0.15475956912622998
Fannyhessea_vaginae.fna	21C	22C	21	22	cervix	cervix	other	0.9843137382578906	0.8416476850408804	False	0.6718089140407115
Fannyhessea_vaginae.fna	21C	22V	21	22	cervix	vagina	between_cervix_vagina	0.9838667977056031	0.8266964435569226	False	0.7625755994163925
Fannyhessea_vaginae.fna	21C	24C	21	24	cervix	cervix	other	0.9837793245254391	0.8262504752542396	False	0.7759718085306565
Fannyhessea_vaginae.fna	21C	27C	21	27	cervix	cervix	other	0.9649600446094964	0.7838019654117672	False	0.6871430006184069
Fannyhessea_vaginae.fna	21C	28C	21	28	cervix	cervix	other	0.970150264087666	0.839946703020048	False	0.8615855694158048
Fannyhessea_vaginae.fna	21C	28V	21	28	cervix	vagina	between_cervix_vagina	0.969978614903767	0.7912409359168896	False	0.8858077570429609
Fannyhessea_vaginae.fna	21C	29C	21	29	cervix	cervix	other	0.9671496802677936	0.7872902458991126	False	0.5876373757036973
Fannyhessea_vaginae.fna	21C	29V	21	29	cervix	vagina	between_cervix_vagina	0.9675885295872386	0.672866836331003	False	0.3461876959466028
Fannyhessea_vaginae.fna	21C	30C	21	30	cervix	cervix	other	0.9674644329101876	0.830574518152143	False	0.8701600559837976
Fannyhessea_vaginae.fna	21C	31C	21	31	cervix	cervix	other	0.966039940014504	0.6262881530678304	False	0.7556566453041316
Fannyhessea_vaginae.fna	21C	37C	21	37	cervix	cervix	other	0.973255392261294	0.8424882428095318	False	0.6890388836159961
Fannyhessea_vaginae.fna	21C	38C	21	38	cervix	cervix	other	0.9766550663645192	0.8464492085946518	False	0.7235603543098911
Fannyhessea_vaginae.fna	21C	38V	21	38	cervix	vagina	between_cervix_vagina	0.9771125205230566	0.8219723307838013	False	0.7537809767220035
Fannyhessea_vaginae.fna	21C	39C	21	39	cervix	cervix	other	0.9688494797079028	0.5827565773474134	False	0.8088301404649073
Fannyhessea_vaginae.fna	21C	39V	21	39	cervix	vagina	between_cervix_vagina	0.9703844940791926	0.4778505834923223	False	0.7720427590737189
Fannyhessea_vaginae.fna	21C	3C	21	3	cervix	cervix	other	0.964304351753045	0.8191485499179652	False	0.8085762951874447
Fannyhessea_vaginae.fna	21C	3V	21	3	cervix	vagina	between_cervix_vagina	0.9640209535176713	0.8265005189262509	False	0.7200131045486479
Fannyhessea_vaginae.fna	21C	42C	21	42	cervix	cervix	other	0.9814996218877532	0.8587773892015387	False	0.839057124752142
Fannyhessea_vaginae.fna	21C	42V	21	42	cervix	vagina	between_cervix_vagina	0.9813570954243463	0.8624273417617461	False	0.8547331399572586
Fannyhessea_vaginae.fna	21C	5V	21	5	cervix	vagina	between_cervix_vagina	0.9774624974724136	0.5996533641149653	False	0.8327842781664789
Fannyhessea_vaginae.fna	21V	22C	21	22	vagina	cervix	between_cervix_vagina	0.9840993110401614	0.8479618015475305	False	0.6594082927770606
Fannyhessea_vaginae.fna	21V	22V	21	22	vagina	vagina	other	0.9836726994453776	0.8316377175465578	False	0.7296485894186177
Fannyhessea_vaginae.fna	21V	24C	21	24	vagina	cervix	between_cervix_vagina	0.9836135018217752	0.8312253167505284	False	0.7982703895629548
Fannyhessea_vaginae.fna	21V	27C	21	27	vagina	cervix	between_cervix_vagina	0.9646759931428592	0.7884370215345831	False	0.7484070658465163
Fannyhessea_vaginae.fna	21V	28C	21	28	vagina	cervix	between_cervix_vagina	0.9698316543012416	0.8463354901027235	False	0.8834743586784952
Fannyhessea_vaginae.fna	21V	28V	21	28	vagina	vagina	other	0.9696815551963534	0.7959157250067649	False	0.9104971600814705
Fannyhessea_vaginae.fna	21V	29C	21	29	vagina	cervix	between_cervix_vagina	0.96688870659578	0.791677998554542	False	0.6801169493726937
Fannyhessea_vaginae.fna	21V	29V	21	29	vagina	vagina	other	0.967323252830395	0.6765448759886145	False	0.47351701623251585
Fannyhessea_vaginae.fna	21V	30C	21	30	vagina	cervix	between_cervix_vagina	0.9671658467138816	0.8363118215852768	False	0.9030165873367616
Fannyhessea_vaginae.fna	21V	31C	21	31	vagina	cervix	between_cervix_vagina	0.9660527990099096	0.6288057160668473	False	0.807571661408867
Fannyhessea_vaginae.fna	21V	37C	21	37	vagina	cervix	between_cervix_vagina	0.97305547838559	0.8482632240562564	False	0.7449005591888228
Fannyhessea_vaginae.fna	21V	38C	21	38	vagina	cervix	between_cervix_vagina	0.9765497953571348	0.8509458843839164	False	0.7854856049072074
Fannyhessea_vaginae.fna	21V	38V	21	38	vagina	vagina	other	0.9770179353583252	0.825177000092482	False	0.804047419242831
Fannyhessea_vaginae.fna	21V	39C	21	39	vagina	cervix	between_cervix_vagina	0.9688779688779688	0.5855132231999425	False	0.8464446180192986
Fannyhessea_vaginae.fna	21V	39V	21	39	vagina	vagina	other	0.9703945117361252	0.480511322182984	False	0.6874533148316687
Fannyhessea_vaginae.fna	21V	3C	21	3	vagina	cervix	between_cervix_vagina	0.9639369032945496	0.8242323145480889	False	0.8392625264979484
Fannyhessea_vaginae.fna	21V	3V	21	3	vagina	vagina	other	0.963666366957519	0.8327639416473425	False	0.7612370877760728
Fannyhessea_vaginae.fna	21V	42C	21	42	vagina	cervix	between_cervix_vagina	0.9813594432627906	0.8647777522786514	False	0.8513075152823992
Fannyhessea_vaginae.fna	21V	42V	21	42	vagina	vagina	other	0.9812298683206948	0.8694285645780598	False	0.7986428563500619
Fannyhessea_vaginae.fna	21V	5V	21	5	vagina	vagina	other	0.9775148994564504	0.6010508684736032	False	0.8430452794601793
Fannyhessea_vaginae.fna	22C	22V	22	22	cervix	vagina	within_cervix_vagina	0.9999968133507856	0.8599015581488547	True	0.21488888040226176
Fannyhessea_vaginae.fna	22C	24C	22	24	cervix	cervix	other	0.9999984058549758	0.8594590151019528	True	0.4329710646685089
Fannyhessea_vaginae.fna	22C	27C	22	27	cervix	cervix	other	0.9789200769499824	0.7834245022247036	False	0.6768143741487332
Fannyhessea_vaginae.fna	22C	28C	22	28	cervix	cervix	other	0.9822781816915576	0.8459436408413799	False	0.7421002112357991
Fannyhessea_vaginae.fna	22C	28V	22	28	cervix	vagina	between_cervix_vagina	0.9824392469112196	0.7989320052474919	False	0.46942320766087153
Fannyhessea_vaginae.fna	22C	29C	22	29	cervix	cervix	other	0.9804279402548028	0.7935536686202043	False	0.8566554946301806
Fannyhessea_vaginae.fna	22C	29V	22	29	cervix	vagina	between_cervix_vagina	0.98095043035824	0.6789891385139185	False	0.8755624929807209
Fannyhessea_vaginae.fna	22C	30C	22	30	cervix	cervix	other	0.9817952032406532	0.8320425827798691	False	0.7831789452583645
Fannyhessea_vaginae.fna	22C	31C	22	31	cervix	cervix	other	0.9798757886161304	0.6407564334866707	False	0.5972336702742669
Fannyhessea_vaginae.fna	22C	37C	22	37	cervix	cervix	other	0.9859077303640712	0.8452140613600321	False	0.4264495955015033
Fannyhessea_vaginae.fna	22C	38C	22	38	cervix	cervix	other	0.9880979228149646	0.8444803715717472	False	0.4536937769831627
Fannyhessea_vaginae.fna	22C	38V	22	38	cervix	vagina	between_cervix_vagina	0.988585843030652	0.8185210430588904	False	0.571561387417031
Fannyhessea_vaginae.fna	22C	39C	22	39	cervix	cervix	other	0.9821000606953958	0.592552123829847	False	0.5847926643968331
Fannyhessea_vaginae.fna	22C	39V	22	39	cervix	vagina	between_cervix_vagina	0.9834257099295104	0.4866034821150269	False	0.4255351087706065
Fannyhessea_vaginae.fna	22C	3C	22	3	cervix	cervix	other	0.9788123154927698	0.8214722434397789	False	0.6006666149495684
Fannyhessea_vaginae.fna	22C	3V	22	3	cervix	vagina	between_cervix_vagina	0.9785480005514696	0.829808630959517	False	0.6371012762171454
Fannyhessea_vaginae.fna	22C	42C	22	42	cervix	cervix	other	0.991441516497902	0.8592672007782182	False	0.7702675577470643
Fannyhessea_vaginae.fna	22C	42V	22	42	cervix	vagina	between_cervix_vagina	0.9912653002215448	0.8624019948689668	False	0.8251226961616221
Fannyhessea_vaginae.fna	22C	5V	22	5	cervix	vagina	between_cervix_vagina	0.9892090093440564	0.5894454168365023	False	0.5793424491900864
Fannyhessea_vaginae.fna	22V	24C	22	24	vagina	cervix	between_cervix_vagina	0.9999879206045496	0.8506855649445623	True	0.43847273425761
Fannyhessea_vaginae.fna	22V	27C	22	27	vagina	cervix	between_cervix_vagina	0.9788778153322628	0.7738461169587839	False	0.6994231859259905
Fannyhessea_vaginae.fna	22V	28C	22	28	vagina	cervix	between_cervix_vagina	0.9821827510307074	0.8313006723777098	False	0.7143590854856979
Fannyhessea_vaginae.fna	22V	28V	22	28	vagina	vagina	other	0.9823703654858628	0.7895543399703373	False	0.4073789684273233
Fannyhessea_vaginae.fna	22V	29C	22	29	vagina	cervix	between_cervix_vagina	0.9802354527221656	0.78457744332058	False	0.8442902830744227
Fannyhessea_vaginae.fna	22V	29V	22	29	vagina	vagina	other	0.9808070123951952	0.6722735820297381	False	0.8658792399418407
Fannyhessea_vaginae.fna	22V	30C	22	30	vagina	cervix	between_cervix_vagina	0.9815929336653686	0.819773316572415	False	0.7828179229139353
Fannyhessea_vaginae.fna	22V	31C	22	31	vagina	cervix	between_cervix_vagina	0.9793040534837364	0.6330516631329445	False	0.579885919797612
Fannyhessea_vaginae.fna	22V	37C	22	37	vagina	cervix	between_cervix_vagina	0.9855114547772796	0.8327824380285598	False	0.5392192794314736
Fannyhessea_vaginae.fna	22V	38C	22	38	vagina	cervix	between_cervix_vagina	0.987877226574982	0.8296716207282779	False	0.6100389692472674
Fannyhessea_vaginae.fna	22V	38V	22	38	vagina	vagina	other	0.9884342866834864	0.807795197106344	False	0.5960958383816961
Fannyhessea_vaginae.fna	22V	39C	22	39	vagina	cervix	between_cervix_vagina	0.9816482147638506	0.5884520926600194	False	0.5705654391279567
Fannyhessea_vaginae.fna	22V	39V	22	39	vagina	vagina	other	0.9829321136254212	0.4837694254818478	False	0.3706327570217234
Fannyhessea_vaginae.fna	22V	3C	22	3	vagina	cervix	between_cervix_vagina	0.9786549341314528	0.8093495781797506	False	0.6238194135759529
Fannyhessea_vaginae.fna	22V	3V	22	3	vagina	vagina	other	0.978401316765874	0.8170050248502307	False	0.608689801095172
Fannyhessea_vaginae.fna	22V	42C	22	42	vagina	cervix	between_cervix_vagina	0.9910901518703762	0.8415278010885463	False	0.8190984705805749
Fannyhessea_vaginae.fna	22V	42V	22	42	vagina	vagina	other	0.990946298407084	0.8444248824280953	False	0.8228622378795598
Fannyhessea_vaginae.fna	22V	5V	22	5	vagina	vagina	other	0.9887238129083468	0.586013995595121	False	0.6087972012541482
Fannyhessea_vaginae.fna	24C	27C	24	27	cervix	cervix	other	0.9788956086833144	0.7725184878180779	False	0.6940854449465845
